Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score,Liquidity_State,Leverage_State,Efficiency_State,Size_State,Profitability_State
APH,Tập đoàn An Phát Holdings,HOSE,Công nghiệp,2021,-0.1140257876597088,-0.0371192634755274,0.1622330771170103,1.6182457839653617,-0.4845173596303916,Trung bình,Trung bình,Trung bình,Cao,Trung bình
APH,Tập đoàn An Phát Holdings,HOSE,Công nghiệp,2022,-0.1340571783678986,0.0212219221738078,0.2390656506654803,1.638864510203773,-0.3558164459307693,Trung bình,Trung bình,Trung bình,Cao,Trung bình
APH,Tập đoàn An Phát Holdings,HOSE,Công nghiệp,2023,-0.1878528557948546,0.0098539301693354,0.3906624394734524,1.5604923121522436,-0.4709091767123293,Trung bình,Trung bình,Trung bình,Cao,Trung bình
APH,Tập đoàn An Phát Holdings,HOSE,Công nghiệp,2024,-0.1926219501013956,-0.0319840176281493,0.2066365239767979,1.428805769867041,-0.2406744487427269,Trung bình,Trung bình,Trung bình,Cao,Trung bình
ASG,Tập đoàn ASG,HOSE,Công nghiệp,2020,0.6338640739963909,-0.3515646719341531,,0.0436454682254393,-0.1948687050711603,Cao,Trung bình,Không xác định,Trung bình,Trung bình
ASG,Tập đoàn ASG,HOSE,Công nghiệp,2021,-0.1763975799188462,-0.2615891602909588,-0.2944861622680209,0.0102824686751553,-0.5542653070159378,Trung bình,Trung bình,Trung bình,Trung bình,Thấp
ASG,Tập đoàn ASG,HOSE,Công nghiệp,2022,-0.037182760389444,-0.199958798129073,-0.1696915688919037,0.3891688563608639,-0.0616359990703506,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
ASG,Tập đoàn ASG,HOSE,Công nghiệp,2023,-0.1458543220219552,-0.2021770084288445,-0.1271944332773471,0.3963684727647529,-0.5882878568533512,Trung bình,Trung bình,Trung bình,Trung bình,Thấp
ASG,Tập đoàn ASG,HOSE,Công nghiệp,2024,-0.2785303862318969,-0.2998431563135395,-0.2121194895137113,0.3547584651612633,-0.3346763108089281,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
ASM,Tập đoàn Sao Mai,HOSE,Hàng Tiêu dùng,2020,-0.4618840813833878,0.6533601950444672,,1.3644308553281437,-0.2814927201538873,Trung bình,Cao,Không xác định,Cao,Trung bình
ASM,Tập đoàn Sao Mai,HOSE,Hàng Tiêu dùng,2021,-0.2466321617723574,0.1115959717436277,-0.415052344244,1.305495780429298,-0.2048703210402039,Trung bình,Trung bình,Trung bình,Cao,Trung bình
ASM,Tập đoàn Sao Mai,HOSE,Hàng Tiêu dùng,2022,-0.3668462213113306,0.3177189473566941,-0.438142955698416,1.2998192786269875,0.0573343453192472,Trung bình,Trung bình,Trung bình,Cao,Trung bình
