Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score
ASM,Tập đoàn Sao Mai,HOSE,Hàng Tiêu dùng,2023,-0.3442725823100529,-0.006499803911706074,-0.632779269664231,1.2703635543741798,-0.24427799659661487
ASM,Tập đoàn Sao Mai,HOSE,Hàng Tiêu dùng,2024,-0.1915053183564086,-2.216868211348453,-0.5299741604755163,1.245951325068221,-0.2505674665540941
ASP,Dầu khí An Pha,HOSE,Tiện ích Cộng đồng,2020,-0.5722924644289126,1.0479892813103189,,0.1529563261908895,-0.5181757447312783
ASP,Dầu khí An Pha,HOSE,Tiện ích Cộng đồng,2021,-0.5322999862823096,0.9237229054670231,0.46893855342870316,0.22072478663276168,-0.9276024149607082
ASP,Dầu khí An Pha,HOSE,Tiện ích Cộng đồng,2022,-0.6489369663147699,3.6833598659461884,0.4747090343203897,0.20850417858501685,-1.0478917578140539
ASP,Dầu khí An Pha,HOSE,Tiện ích Cộng đồng,2023,-0.6384450806067142,1.2348508232939666,0.3309981836674031,0.20753942230530384,-1.8644331094186601
ASP,Dầu khí An Pha,HOSE,Tiện ích Cộng đồng,2024,-0.5567430523511853,1.4634208992623914,0.49066789207862155,0.06505049807374086,-0.5793954365857333
AST,Dịch vụ Hàng không Taseco,HOSE,Dịch vụ Tiêu dùng,2020,0.057786503141748095,-0.38110581913062336,,-0.5636130101191583,-0.42379834726798715
AST,Dịch vụ Hàng không Taseco,HOSE,Dịch vụ Tiêu dùng,2021,-0.2931138004803601,-0.2682181871140025,-0.32911664899551457,-0.8312530775890721,-1.5045257271614532
AST,Dịch vụ Hàng không Taseco,HOSE,Dịch vụ Tiêu dùng,2022,-0.05601677868599447,-0.1889665528779133,-0.20145795381819517,-0.5567682364288145,-0.2233299324208586
AST,Dịch vụ Hàng không Taseco,HOSE,Dịch vụ Tiêu dùng,2023,-0.023694986975662986,-0.1773430166911489,-0.07218086185516019,-0.3738706017942379,0.9443794807260102
AST,Dịch vụ Hàng không Taseco,HOSE,Dịch vụ Tiêu dùng,2024,-0.2685275305262557,-0.14578880702795907,-0.03246827750340245,-0.34171268162696744,1.083641335134148
BAF,Nông nghiệp BAF Việt Nam,HOSE,Hàng Tiêu dùng,2020,-0.6055295093855474,1.5370242668163239,,0.929449642224635,-0.5121056909252427
BAF,Nông nghiệp BAF Việt Nam,HOSE,Hàng Tiêu dùng,2021,-0.3055124200306074,0.8230804321954053,0.43408355265234755,0.8263964868214434,0.27063221592017217
BAF,Nông nghiệp BAF Việt Nam,HOSE,Hàng Tiêu dùng,2022,-0.4134336950399133,0.38060004892568755,0.3129608725633862,0.5380774113700779,0.14800153856506115
BAF,Nông nghiệp BAF Việt Nam,HOSE,Hàng Tiêu dùng,2023,-0.49811057706232553,-3.7778401902638987,-0.5320741084649238,0.5527457078924197,-0.32760759454241734
BAF,Nông nghiệp BAF Việt Nam,HOSE,Hàng Tiêu dùng,2024,-0.371362722650536,0.29629008405039003,-0.32851924179667075,0.5780208327281959,0.03895473012647208
BBC,Bánh kẹo BIBICA,HOSE,Hàng Tiêu dùng,2020,-0.12306996363074318,-0.3687715753934383,,-0.37765059972011966,-0.0354750406968349
BBC,Bánh kẹo BIBICA,HOSE,Hàng Tiêu dùng,2021,-0.23833808028623182,-0.31438348728814913,-0.09449737973787072,-0.4372590876473497,-0.6765194619725673
BBC,Bánh kẹo BIBICA,HOSE,Hàng Tiêu dùng,2022,-0.11792959085192978,-0.4293998587234923,-0.322084028626693,-0.33900658464559313,0.3393760970698268
BBC,Bánh kẹo BIBICA,HOSE,Hàng Tiêu dùng,2023,-0.2648120995998868,-0.009591548259557076,-0.498226195832736,-0.27049236151441025,0.028956043228780138
BBC,Bánh kẹo BIBICA,HOSE,Hàng Tiêu dùng,2024,-0.030634932413798777,-0.16885645458093135,-0.23569156126567703,-0.24756581420963486,0.06771432947096528
BCE,XD và GT Bình Dương,HOSE,Công nghiệp,2020,-0.43020176412027267,0.0996301500313763,,-0.3969517198197543,-0.07287466223359657
BCE,XD và GT Bình Dương,HOSE,Công nghiệp,2021,-0.2281266263185171,-0.0338982690466539,-0.44256035466412275,-0.9412911997719373,-0.3747428136674838
BCE,XD và GT Bình Dương,HOSE,Công nghiệp,2022,-0.3819962453161911,-0.1689671982494331,-0.40054776279570514,-1.1416329305877773,-1.0411489802009937
BCE,XD và GT Bình Dương,HOSE,Công nghiệp,2023,-0.36432338464330366,-0.07812077926046461,-0.4679363323733672,-1.030178199497651,-0.6777008162695989
BCE,XD và GT Bình Dương,HOSE,Công nghiệp,2024,-0.30894188189631683,-0.2116331741989974,-0.4167596242550389,-0.7628215231705341,0.16536605505194898
BCG,Bamboo Capital,HOSE,Tài chính,2020,-0.4037368957704784,1.8149932153251298,,0.7711643005712124,-0.49818680394375797
BCG,Bamboo Capital,HOSE,Tài chính,2021,-0.34383137825185844,0.9284575484996584,-0.33219648213967795,0.8991052238534082,0.1018080145338448
BCG,Bamboo Capital,HOSE,Tài chính,2022,-0.2929369458799368,0.031430833160621535,-0.2934997899000701,1.089123627416814,-0.08272974882591741
BCG,Bamboo Capital,HOSE,Tài chính,2023,-0.1998864392435897,-0.11278456870436479,-0.34016885612215175,1.0533827141886158,-0.4232743233770872
BCG,Bamboo Capital,HOSE,Tài chính,2024,-0.15985358207011077,0.1154989290058423,-0.2178181861323502,1.0384134286428413,0.03189952101689763
BCM,Becamex IDC,HOSE,Tài chính,2020,-0.4925862035344491,0.10505430551055418,,1.386096119277497,0.22683372499751367
BCM,Becamex IDC,HOSE,Tài chính,2021,-0.4275714180174636,0.07644773769911584,-0.20699927690399395,1.2751492363316572,-0.09985936242336908
BCM,Becamex IDC,HOSE,Tài chính,2022,-0.4686345556757936,0.1015691991021331,-0.22101197854765248,1.2237383306570644,0.29416562095744647
BCM,Becamex IDC,HOSE,Tài chính,2023,-0.24347039912231142,0.027995844835327473,-0.2003690662723851,1.307792468516337,0.33606958294468364
BCM,Becamex IDC,HOSE,Tài chính,2024,-0.1866422678805375,0.1196213699270625,-0.21470979366928708,1.1595866918238211,0.21483629190599593
BFC,Phân bón Bình Điền,HOSE,Nguyên vật liệu,2020,-0.2245939637354499,0.27283123576016793,,0.6011237950403082,0.07542275338391968
BFC,Phân bón Bình Điền,HOSE,Nguyên vật liệu,2021,-0.33684416299898984,0.33498221634360065,0.7654395647642087,0.6573686191979936,0.10783890502471383
BFC,Phân bón Bình Điền,HOSE,Nguyên vật liệu,2022,-0.2999980088298748,0.4792685474213839,0.22175968449424022,0.6916261951414484,0.11170846560525727
BFC,Phân bón Bình Điền,HOSE,Nguyên vật liệu,2023,-0.3160558993966593,0.145424854494378,0.597726255464861,0.66625911518513,0.10801635536081826
BFC,Phân bón Bình Điền,HOSE,Nguyên vật liệu,2024,-0.24106738630431138,-0.0928241642372615,0.6777399642831312,0.5937856321548243,1.0098703578949866
BHN,HABECO,HOSE,Hàng Tiêu dùng,2020,0.434196365688752,-0.4188590196864206,,0.8710575557266169,0.17954841319150616
BHN,HABECO,HOSE,Hàng Tiêu dùng,2021,0.0026502780646512764,-0.4344901626430539,-0.007925926873928985,0.7765769696368228,-0.2839729332769569
BHN,HABECO,HOSE,Hàng Tiêu dùng,2022,0.13914218375231688,-0.42014161274241596,0.06868978940907032,0.7588699892805101,0.09161407045449706
BHN,HABECO,HOSE,Hàng Tiêu dùng,2023,0.36505826181831497,-0.033369483295745433,0.08828583787934476,0.7252503013237557,0.02907179649459599
BHN,HABECO,HOSE,Hàng Tiêu dùng,2024,0.09243105325102176,-0.19053219835306373,0.4966973059332883,0.6985695809011596,0.045873123498004244
BIC,Bảo hiểm BIDV,HOSE,Tài chính,2020,-0.32519855713097345,-0.036313077498168075,,0.2619236332320523,0.0009845626907698894
BIC,Bảo hiểm BIDV,HOSE,Tài chính,2021,-0.48153366239620193,-0.15676910564483706,-1.8810958829769837,0.18358322473211522,0.1445118953766952
BIC,Bảo hiểm BIDV,HOSE,Tài chính,2022,-0.3489786304995879,0.011712532247138132,-1.6621600947481125,0.2726202930910785,0.43172861904498916
BIC,Bảo hiểm BIDV,HOSE,Tài chính,2023,-0.21638673680832612,0.01174429955666774,-1.1805467357976824,0.4452343469378844,0.6311979399941985
BIC,Bảo hiểm BIDV,HOSE,Tài chính,2024,-0.18590547507216404,0.08837684730454057,-1.2653121989631484,0.47580702121724006,0.3446601101965967
BID,BIDV,HOSE,Ngân hàng,2020,,1.9592336681084292,,0.9650422249045717,
BID,BIDV,HOSE,Ngân hàng,2021,,2.0908088711901103,,0.9662944562806111,
BID,BIDV,HOSE,Ngân hàng,2022,,2.2743575642761042,,0.9479007914936803,
BID,BIDV,HOSE,Ngân hàng,2023,,2.109984623581288,,0.932438189311334,
BID,BIDV,HOSE,Ngân hàng,2024,,2.6149100044771934,,0.9543910952938629,
BKG,Đầu tư BKG Việt Nam,HOSE,Hàng Tiêu dùng,2020,1.0920755570689227,-0.4535073964845948,,-1.2710974892662064,-0.28451928622741923
BKG,Đầu tư BKG Việt Nam,HOSE,Hàng Tiêu dùng,2021,0.8668418096211311,-0.6041253015009946,-0.2119511073092145,-1.3004412046721154,-0.2447353011198742
BKG,Đầu tư BKG Việt Nam,HOSE,Hàng Tiêu dùng,2022,3.474228560793485,-0.5666475720775052,-0.42632213450706513,-1.1063611719815447,-0.17238446591379777
BKG,Đầu tư BKG Việt Nam,HOSE,Hàng Tiêu dùng,2023,5.305483500845959,-0.05825386263300879,-0.5990430066680817,-1.3412713953069595,-0.16447125276320496
BKG,Đầu tư BKG Việt Nam,HOSE,Hàng Tiêu dùng,2024,1.1897257917311135,-0.29451724266637586,-0.5482952409817581,-1.2257450133591488,-0.16235910504210585
BMC,Khoáng sản Bình Định,HOSE,Nguyên vật liệu,2020,0.23231952380674117,-0.4223652524410949,,-1.3621880908021122,0.034246134107289314
BMC,Khoáng sản Bình Định,HOSE,Nguyên vật liệu,2021,1.085620066741921,-0.48987377274700716,0.28627242637650663,-1.4594144488026273,-0.04579687657640432
BMC,Khoáng sản Bình Định,HOSE,Nguyên vật liệu,2022,1.102895648274259,-0.4648381076433881,1.2764054270949023,-1.5475418167709782,0.36615710035129795
BMC,Khoáng sản Bình Định,HOSE,Nguyên vật liệu,2023,1.7431014579826904,-0.2895877298389503,-0.056742650315698,-1.514239963312606,0.7273427365591209
