Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score,Composite_Score
BMI,Bảo hiểm Bảo Minh,HOSE,Tài chính,2021,-0.5364524233518976,0.1612334726817702,0.2203351873139825,0.4147608172144758,-0.1885318142526789,0.014269047921130406
BMI,Bảo hiểm Bảo Minh,HOSE,Tài chính,2022,-0.3883446635342245,0.124984479493045,0.6264280569143005,0.4390832625775239,0.3711939793896071,0.23466902296805042
BMI,Bảo hiểm Bảo Minh,HOSE,Tài chính,2023,-0.216612292060971,-0.0099400499458672,0.7992142365152319,0.4869683806285134,0.3647555635765067,0.2848771677426828
BMI,Bảo hiểm Bảo Minh,HOSE,Tài chính,2024,-0.1766254508725206,0.0176310091476258,0.9381919561738012,0.4724271223616073,0.136411962497598,0.27760731986162235
BMP,Nhựa Bình Minh,HOSE,Công nghiệp,2021,0.0003447365068549,-0.4146852686308341,0.580509124313154,0.6965766563062712,0.0227449432291949,0.17709803834492818
BMP,Nhựa Bình Minh,HOSE,Công nghiệp,2022,0.5284536712436229,-0.3931926169352843,0.7594310885517422,0.7510024985461061,0.9191329895869194,0.5129655261986212
BMP,Nhựa Bình Minh,HOSE,Công nghiệp,2023,0.64946443758765,-0.3946784143387593,1.4126416825188135,0.7355180264617548,2.3772115131918263,0.9560314490842572
BMP,Nhựa Bình Minh,HOSE,Công nghiệp,2024,0.7020700973164885,-0.4875253154610943,1.208581563208405,0.5935786734221863,1.65552078126351,0.7344451599498991
BRC,Cao su Bến Thành,HOSE,Nguyên vật liệu,2021,-0.2009907272519168,-0.3371447553343281,-0.1519551208437908,-1.1114094435316182,-0.1922344341198845,-0.3987468962163077
BRC,Cao su Bến Thành,HOSE,Nguyên vật liệu,2022,-0.204956888458192,-0.292450743600907,-0.2094956489502509,-1.2627186187408057,0.1504581832889941,-0.36383274329223225
BRC,Cao su Bến Thành,HOSE,Nguyên vật liệu,2023,-0.1171512292378534,-0.2122029954789667,-0.1294804178269477,-1.263390724859022,0.3536408602476692,-0.27371690143102406
BRC,Cao su Bến Thành,HOSE,Nguyên vật liệu,2024,-0.1886342907604958,-0.3327251712595296,-0.0539347806697418,-1.1166147388672751,0.2152145849053425,-0.2953388793303399
BSR,Lọc Hóa dầu Bình Sơn,HOSE,Dầu khí,2024,1.1088765567635437,-0.8754340450568925,0.0666667064576698,0.5874399543515988,-1.0770301743017696,-0.037896200357169965
BTP,Nhiệt điện Bà Rịa,HOSE,Tiện ích Cộng đồng,2021,-0.0043812735494178,-0.5152187477846091,-0.142174929052547,-0.1293517168857814,-0.3627350396256124,-0.23077234137959354
BTP,Nhiệt điện Bà Rịa,HOSE,Tiện ích Cộng đồng,2022,0.8205465441818268,-0.4589899663506371,-0.2219369327750538,-0.5350354158381537,-0.6056334084163879,-0.20020983583968116
BTP,Nhiệt điện Bà Rịa,HOSE,Tiện ích Cộng đồng,2023,1.4555223313493355,-0.3375231575803576,-0.0988415123807982,-0.4399753159849782,-0.4726485239809101,0.02130676428445827
BTP,Nhiệt điện Bà Rịa,HOSE,Tiện ích Cộng đồng,2024,0.3006779501206865,-0.4160486454142876,-0.1934245443414267,-0.6979231361604528,-0.3130919017437408,-0.26396205550784424
BTT,TM - DV Bến Thành,HOSE,Dịch vụ Tiêu dùng,2021,0.1110169581116258,-0.2404081599776616,-0.2973758338849884,-0.9457047454288854,0.090740838756417,-0.25634618848469853
BTT,TM - DV Bến Thành,HOSE,Dịch vụ Tiêu dùng,2022,0.1641156352514824,-0.1676101481569771,-0.2760021795168985,-0.9102790614046636,-0.273347539463189,-0.29262465865804915
BTT,TM - DV Bến Thành,HOSE,Dịch vụ Tiêu dùng,2023,0.2251297411806375,-0.1437927824130195,-0.2567053759306714,-0.831462911467088,0.4151383844811278,-0.11833858882980271
BTT,TM - DV Bến Thành,HOSE,Dịch vụ Tiêu dùng,2024,-0.0564681442252797,-0.1566938168152691,-0.1591391667830243,-0.8287817798831052,0.2775355571414922,-0.18470947011303723
BVH,Tập đoàn Bảo Việt,HOSE,Tài chính,2021,0.7496265419662563,1.9224538880499236,-0.1563722897677683,2.197073473688329,-0.3311976443598995,0.8763167939153684
BVH,Tập đoàn Bảo Việt,HOSE,Tài chính,2022,0.2896629472440389,2.490981773273862,-0.0869157053407505,2.2383717646447208,0.0064240454639746,0.9877049650571692
BVH,Tập đoàn Bảo Việt,HOSE,Tài chính,2023,-0.0329200828883962,2.5998388143372497,-0.0692206990844541,2.206129567911617,-0.123606526032498,0.9160442148487038
BVH,Tập đoàn Bảo Việt,HOSE,Tài chính,2024,-0.0742625801235452,2.891180314165965,-0.079441800710514,2.157412925425146,0.023292094458358,0.983636190643082
BWE,Nước - Môi trường Bình Dương,HOSE,Tiện ích Cộng đồng,2021,-0.3421240272333817,-0.0858716575270061,-0.2673584645288124,0.7061619941952222,0.257394021030268,0.053640373187258006
