Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score,Composite_Score,cluster_raw,cluster
TCR,Gốm sứ TAICERA,HOSE,Công nghiệp,2021,-0.3149388312322904,-0.0350061953665908,0.0476300068159857,-0.2015810649763337,-0.5964559724511863,-0.2200704114420831,0,0
TDP,Công ty Thuận Đức,HOSE,Công nghiệp,2021,-0.3378783857143503,0.8861973848541967,-0.0121790482056739,0.4866319685873101,-0.1236428482862206,0.1798258142470524,1,2
TGG,The Golden Group,HOSE,Công nghiệp,2021,-0.3112696910058738,-0.078254828319261,-0.078505096067874,-0.3071979455438429,0.7688526932735763,-0.001274973532655,2,1
THG,XD Tiền Giang,HOSE,Công nghiệp,2021,-0.2491309522418066,0.3364517674592254,-3.953028569372678e-05,0.0809166973156967,0.6032636304036676,0.1542923225302178,2,1
TMS,Transimex,HOSE,Công nghiệp,2021,-0.0625521801780867,-0.2351608625472827,0.1060142316121656,1.0664046804163083,0.5128223886440487,0.2775056515894306,1,2
TTB,Tập đoàn Tiến Bộ,HOSE,Công nghiệp,2021,-0.366614389500673,0.0378564196785659,-0.0056708004849555,0.0526324524293379,-0.6646479854748071,-0.1892888606705063,0,0
TV2,Tư vấn XD Điện 2,HOSE,Công nghiệp,2021,-0.2922725874044692,0.4790275666434581,-0.1597732616428342,0.7948195345619998,0.3189142563641007,0.228143101704451,1,2
TYA,Dây và Cáp điện Taya,HOSE,Công nghiệp,2021,-0.2780080996880563,0.1450377217508394,0.3948464152929018,0.1393567726138876,0.0657951789796739,0.0934055977898492,0,0
UIC,Phát triển Nhà và Đô thị IDICO,HOSE,Công nghiệp,2021,-0.2504703798503662,-0.3675277281913015,2.241646055944756,-0.1870245904934221,0.5491098745799922,0.3971466463979317,2,1
VCG,VINACONEX,HOSE,Công nghiệp,2021,-0.2520716272321177,1.079465157984573,-0.4171833841827567,1.6651322927221668,-0.3945446443863079,0.3361595589811115,1,2
VGC,Tổng Công ty Viglacera,HOSE,Công nghiệp,2021,-0.2612270116149065,0.2022604075512341,0.204865016155339,1.747168806333263,0.144226620559366,0.4074587677968592,1,2
VIP,Vận tải Xăng dầu VIPCO,HOSE,Công nghiệp,2021,0.1416661557042928,-0.3606727319617741,-0.006628288320347,-0.1477888977391514,-0.6628495115334508,-0.2072546547700861,0,0
VNE,Xây dựng điện Việt Nam,HOSE,Công nghiệp,2021,-0.3674172550015094,-4.160004165217341,-0.2237602593338765,0.5137656153433914,-0.6893062883693407,-0.9853444705157351,2,1
VOS,Vận tải Biển Việt Nam,HOSE,Công nghiệp,2021,-0.2507352035668513,0.2406172419282581,-0.2097848462775341,0.3178466838293609,2.0285393409370127,0.4252966433700492,2,1
VSC,VICONSHIP,HOSE,Công nghiệp,2021,1.4295746123432986,-0.4816697034909972,0.0408789609706238,0.4723706672298544,0.4751523315246182,0.3872613737154796,2,1
VSI,Đầu tư và Xây dựng Cấp thoát nước,HOSE,Công nghiệp,2021,0.0697999772753975,0.1339909345510746,-0.2199788942922194,-0.83294072397177,0.6197662298387903,-0.0458724953197453,2,1
VTB,Viettronics Tân Bình,HOSE,Công nghiệp,2021,-0.0604232487928162,-0.3575352830022127,0.472367978397806,-1.0145166779146892,-0.4395329559560089,-0.2799280374535842,0,0
VTO,VITACO,HOSE,Công nghiệp,2021,0.313866699438203,-0.2865136889056222,0.1030314128905778,0.0216123645101147,0.0848023136862767,0.04735982032391,2,1
